Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
spine,ENT-DC1-SPINE1,Ethernet1/1,l3leaf,ENT-DC1-LEAF1,Ethernet49/1,True
spine,ENT-DC1-SPINE1,Ethernet2/1,l3leaf,ENT-DC1-LEAF2,Ethernet49/1,True
spine,ENT-DC1-SPINE1,Ethernet3/1,l3leaf,ENT-DC1-LEAF3,Ethernet49/1,True
spine,ENT-DC1-SPINE1,Ethernet4/1,l3leaf,ENT-DC1-LEAF4,Ethernet49/1,True
spine,ENT-DC1-SPINE1,Ethernet5/1,l3leaf,ENT-DC1-LEAF5,Ethernet49/1,True
spine,ENT-DC1-SPINE1,Ethernet6/1,l3leaf,ENT-DC1-LEAF6,Ethernet49/1,True
spine,ENT-DC1-SPINE1,Ethernet7/1,l3leaf,ENT-DC1-BORDER1,Ethernet49/1,True
spine,ENT-DC1-SPINE1,Ethernet8/1,l3leaf,ENT-DC1-BORDER2,Ethernet49/1,True
spine,ENT-DC1-SPINE2,Ethernet1/1,l3leaf,ENT-DC1-LEAF1,Ethernet50/1,True
spine,ENT-DC1-SPINE2,Ethernet2/1,l3leaf,ENT-DC1-LEAF2,Ethernet50/1,True
spine,ENT-DC1-SPINE2,Ethernet3/1,l3leaf,ENT-DC1-LEAF3,Ethernet50/1,True
spine,ENT-DC1-SPINE2,Ethernet4/1,l3leaf,ENT-DC1-LEAF4,Ethernet50/1,True
spine,ENT-DC1-SPINE2,Ethernet5/1,l3leaf,ENT-DC1-LEAF5,Ethernet50/1,True
spine,ENT-DC1-SPINE2,Ethernet6/1,l3leaf,ENT-DC1-LEAF6,Ethernet50/1,True
spine,ENT-DC1-SPINE2,Ethernet7/1,l3leaf,ENT-DC1-BORDER1,Ethernet50/1,True
spine,ENT-DC1-SPINE2,Ethernet8/1,l3leaf,ENT-DC1-BORDER2,Ethernet50/1,True
